wallet,num_tx_erc20,num_in_tx_erc20,num_distinct_tokens_in,num_distinct_wallets_in_erc20,num_distinct_blocks_in_erc20,num_out_tx_erc20,num_distinct_tokens_out,num_distinct_wallets_out_erc20,num_distinct_blocks_out_erc20,min_block_number_in_erc20,max_block_number_in_erc20,min_block_number_out_erc20,max_block_number_out_erc20,num_tx_eth,balance_eth,num_in_tx,num_distinct_wallets_in,vol_in,mean_in,min_in,max_in,num_distinct_blocks_in,num_out_tx,num_distinct_wallets_out,vol_out,mean_out,min_out,max_out,num_distinct_blocks_out,min_block_number_in_eth,max_block_number_in_eth,min_block_number_out_eth,max_block_number_out_eth,is_scam
0x4000ad3a278c1a6585a4faff94bcbeef688b530a,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,5566598.0,6230344.0,0.0,0.0,1.0,1.3306,1.0,1.0,1.3306,1.3306,1.3306,1.3306,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4892996.0,4892996.0,0.0,0.0,0.0
0x543d2fb268c396327878c1c2105b81c42f752b7e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.04815628,1.0,1.0,0.02815628,0.02815628,0.02815628,0.02815628,1.0,1.0,1.0,0.02,0.02,0.02,0.02,1.0,4478003.0,4478003.0,4478039.0,4478039.0,0.0
0x7687ea97c26b83d1feb26bdf3fa95dcbcab47b6e,4.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,6050261.0,6104096.0,6060511.0,6106811.0,4.0,0.012,1.0,1.0,0.01,0.01,0.01,0.01,1.0,3.0,2.0,0.002,0.0006666666666666666,0.0,0.002,3.0,6019203.0,6019203.0,6019480.0,6106811.0,0.0
0x40a142da548108c674f8a96e2dfef88b59768d05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,201.99874,2.0,2.0,101.0,50.5,49.03032797127239,51.96967202872761,1.0,3.0,3.0,100.99874,33.666246666666666,0.17579,72.44337949363971,3.0,4827314.0,4827314.0,4827318.0,4827331.0,0.0
0xea7ca2ec61959fa289c86690488835a4d48e59fc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,201.992167,2.0,2.0,101.0,50.5,20.80698032566355,80.19301967433645,2.0,3.0,3.0,100.99216700000001,33.66405566666666,1.0,64.75890968669945,3.0,4882327.0,4882328.0,4882336.0,4882355.0,0.0
0x579b82dcc832bd282c538d0b8454df371343f79e,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5191404.0,5191404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xae8e75e6a24669de31360e7eb1b077eae2cbaa8a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.29379,1.0,1.0,0.147,0.147,0.147,0.147,1.0,1.0,1.0,0.14679,0.14679,0.14679,0.14679,1.0,6126063.0,6126063.0,6126091.0,6126091.0,0.0
0xc50398d18acb5c233ee15cc08dc9a1127ce715dd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.44996548,1.0,1.0,0.22520324,0.22520324,0.22520324,0.22520324,1.0,1.0,1.0,0.22476224,0.22476224,0.22476224,0.22476224,1.0,3914516.0,3914516.0,3914542.0,3914542.0,0.0
0x0c0f6cf9b3923ff7bcc47a46b3ee835011e3771e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.044044454000000004,1.0,1.0,0.044044454000000004,0.044044454000000004,0.044044454000000004,0.044044454000000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3982234.0,3982234.0,0.0,0.0,0.0
0xffe28fb0963b359f0230689e08855edcd01a66bb,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,6312129.0,6312369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
